district,month,hour,T2M_mean,T2M_std,PS_mean,PS_std,RH2M_mean,RH2M_std
Mahbubnagar,7,23,24.58975806451613,1.1596757773063213,956.0774193548388,1.6391966458756506,85.37806451612903,7.951531700625218
Mahbubnagar,8,0,23.77774193548387,0.796625850615827,957.1104838709678,1.5688957614535588,91.92846774193548,3.9027524255179165
Mahbubnagar,8,1,23.467177419354837,0.7717097062402927,956.5830645161291,1.58605312525433,93.01443548387097,3.559433887211539
Mahbubnagar,8,2,23.198145161290324,0.7544829349177417,956.2919354838709,1.5720421586743392,93.9541935483871,3.0661922830615316
Mahbubnagar,8,3,22.97451612903226,0.7364796012041177,956.325,1.560676578319121,94.7290322580645,2.4982912597339797
Mahbubnagar,8,4,22.79201612903226,0.722424756077077,956.6701612903227,1.5437774302863174,95.28048387096774,1.9582889722726615
Mahbubnagar,8,5,22.688870967741938,0.7232056119797815,957.2016129032259,1.537815146945036,95.49370967741935,1.637327520981224
Mahbubnagar,8,6,23.285725806451612,0.8757548877360867,957.8895161290322,1.5650044052192351,92.48145161290323,2.8770537927009574
Mahbubnagar,8,7,24.50564516129032,1.1550555133496756,958.5306451612903,1.6293635556998662,85.96612903225805,5.522956040959384
Mahbubnagar,8,8,26.010080645161292,1.4859934105532604,958.8620967741934,1.6311297268091929,78.3916129032258,7.610067400008853
Mahbubnagar,8,9,27.436612903225804,1.6659989981827716,958.8056451612903,1.5937021592043887,71.97298387096774,8.425564947388663
Mahbubnagar,8,10,28.6225,1.764062949395764,958.3887096774193,1.5503584519916227,67.16080645161291,8.682119987331989
Mahbubnagar,8,11,29.482580645161292,1.88006481075267,957.6556451612903,1.520178766731704,63.92637096774193,8.979399126571456
Mahbubnagar,8,12,29.996935483870967,1.98474719465683,956.7677419354839,1.5110190599486066,62.04693548387097,9.377817640747814
Mahbubnagar,8,13,30.198548387096775,2.029851487838533,955.9467741935483,1.5096133938871366,61.28,9.675947045096528
Mahbubnagar,8,14,30.11008064516129,2.030408063422865,955.4016129032258,1.5516570670789422,61.60330645161291,10.007646322360417
Mahbubnagar,8,15,29.738790322580645,1.9754619065666197,955.1806451612903,1.605310162739333,63.23951612903225,10.46829055199742
Mahbubnagar,8,16,28.97782258064516,1.8397541195222211,955.3274193548388,1.649308241769942,67.64137096774193,10.65093150891534
Mahbubnagar,8,17,27.631774193548388,1.5437748310827946,955.808870967742,1.6749232282745643,76.655,8.493860097128605
Mahbubnagar,8,18,26.260725806451614,1.250608419986694,956.4685483870968,1.654723071934962,83.68032258064517,6.382351547604486
Mahbubnagar,8,19,25.71693548387097,1.2030659866198323,957.1975806451613,1.5730175914581273,85.3791129032258,6.106873644568592
Mahbubnagar,8,20,25.293387096774193,1.1630810547828314,957.8491935483871,1.4861690789879498,86.7158870967742,5.9549416538678495
Mahbubnagar,8,21,24.88274193548387,1.0656402622994365,958.2604838709677,1.457407127855192,88.11999999999999,5.466779792603035
Mahbubnagar,8,22,24.485887096774192,0.9546037462489243,958.1782258064517,1.4549361164903953,89.51879032258064,4.915204317638605
Mahbubnagar,8,23,24.110967741935486,0.864728369733816,957.7362903225807,1.4783167024528396,90.76798387096774,4.468674341873802
